Order_ID,Selling_Price,AWB_Number,Delivery_Partner,Item_Quantity,Payment_Mode,Shipping_City,Shipping_State,Product
10001,960,16633439,XpressBees,2,COD,Chennai,Tamil Nadu,Cushion Cover
10002,3872,27959233,ShadowFax,2,COD,Chennai,Tamil Nadu,Curtains
10003,3192,23639231,Ekart,1,Prepaid,Pune,Maharashtra,Toothpaste
10004,566,41872863,XpressBees,3,COD,Bangalore,Karnataka,Soap Bar
10005,4526,17796551,Ekart,2,COD,Chennai,Tamil Nadu,Cushion Cover
10006,3544,42519276,ShadowFax,2,COD,Bangalore,Karnataka,Water Bottle
10007,3271,16642621,ShadowFax,3,COD,Bangalore,Karnataka,Cushion Cover
10008,3019,63889972,Ekart,2,Prepaid,Mumbai,Maharashtra,Laundry Detergent
10009,230,39732040,ShadowFax,1,Prepaid,Ahmedabad,Gujarat,Broom
10010,1785,64607766,Ekart,2,Prepaid,Hyderabad,Telangana,Storage Container
10011,869,71438326,ShadowFax,4,Prepaid,Mumbai,Maharashtra,Dish Soap
10012,2491,60914076,ShadowFax,2,COD,Bangalore,Karnataka,Cushion Cover
10013,2533,89474052,XpressBees,1,COD,Hyderabad,Telangana,Water Bottle
10014,1284,95245223,Ekart,3,COD,Pune,Maharashtra,Dish Soap
10015,4655,93801447,XpressBees,1,COD,Kolkata,West Bengal,Mop
10016,3485,59369858,XpressBees,3,COD,Kolkata,West Bengal,Dinner Plate Set
10017,4217,32551719,Ekart,2,Prepaid,Bangalore,Karnataka,Floor Cleaner
10018,4943,99377396,Ekart,3,Prepaid,Pune,Maharashtra,Dinner Plate Set
10019,3004,86499804,ShadowFax,3,Prepaid,Mumbai,Maharashtra,Air Freshener
10020,574,51995858,XpressBees,3,Prepaid,Kolkata,West Bengal,Cushion Cover
10021,1182,47155160,Ekart,3,COD,Pune,Maharashtra,Dish Sponge
10022,2658,53900883,XpressBees,3,Prepaid,Kolkata,West Bengal,Water Bottle
10023,2147,55219566,Ekart,4,Prepaid,Pune,Maharashtra,Shampoo
